出演イベントID	イベント名＠会場名	曲名	演奏順	形態	Youtube
27	豊岡元気村虫の音音楽祭2009@豊岡総合センター野球場	マント	1	個別	
27	豊岡元気村虫の音音楽祭2009@豊岡総合センター野球場	アスパラ	2	個別	
27	豊岡元気村虫の音音楽祭2009@豊岡総合センター野球場	KissHug	3	個別	
27	豊岡元気村虫の音音楽祭2009@豊岡総合センター野球場	帽子と水着と水平線	4	個別	
27	豊岡元気村虫の音音楽祭2009@豊岡総合センター野球場	花火	5	個別	
27	豊岡元気村虫の音音楽祭2009@豊岡総合センター野球場	雲は白リンゴは赤	6	個別	
26	NARUフェス2009@浜名湖ガーデンパーク	ボーイフレンド	1	個別	
26	NARUフェス2009@浜名湖ガーデンパーク	アスパラ	2	個別	
26	NARUフェス2009@浜名湖ガーデンパーク	milk	3	個別	
26	NARUフェス2009@浜名湖ガーデンパーク	雲は白リンゴは赤	4	個別	
26	NARUフェス2009@浜名湖ガーデンパーク	KissHug	5	個別	
26	NARUフェス2009@浜名湖ガーデンパーク	桜の時	6	個別	
26	NARUフェス2009@浜名湖ガーデンパーク	帽子と水着と水平線	7	個別	
26	NARUフェス2009@浜名湖ガーデンパーク	花火	8	個別	
25	おとぎ草子@おとぎ草子	アンドロメダ	1	個別	
25	おとぎ草子@おとぎ草子	アスパラ	2	個別	
25	おとぎ草子@おとぎ草子	milk	3	個別	
25	おとぎ草子@おとぎ草子	ライン	4	個別	
25	おとぎ草子@おとぎ草子	それだけ	5	個別	
25	おとぎ草子@おとぎ草子	桜の時	6	個別	
25	おとぎ草子@おとぎ草子	雲は白リンゴは赤	7	個別	
25	おとぎ草子@おとぎ草子	イジワルな天使よ 世界を笑え！	8	個別	
24	紅白バンド合戦@Merry You	花火	1	個別	
24	紅白バンド合戦@Merry You	二人	2	個別	
23	第10回J-POP祭@ライブハウス「窓枠」(旧)	二人	1	個別	
23	第10回J-POP祭@ライブハウス「窓枠」(旧)	Power of Love	2	メドレー	
23	第10回J-POP祭@ライブハウス「窓枠」(旧)	花火	3	メドレー	
23	第10回J-POP祭@ライブハウス「窓枠」(旧)	シアワセ	4	メドレー	
23	第10回J-POP祭@ライブハウス「窓枠」(旧)	キラキラ	5	メドレー	
23	第10回J-POP祭@ライブハウス「窓枠」(旧)	イジワルな天使よ 世界を笑え！	6	個別	
22	バンドナイト@Merry You	ボーイフレンド	1	個別	
22	バンドナイト@Merry You	横顔	2	個別	
22	バンドナイト@Merry You	傷跡	3	個別	
22	バンドナイト@Merry You	初恋	4	個別	
22	バンドナイト@Merry You	二人	5	個別	
21	豊岡元気村虫の音音楽祭2008@豊岡総合センター野球場	オレンジな満月	1	個別	
21	豊岡元気村虫の音音楽祭2008@豊岡総合センター野球場	キラキラ	2	個別	
21	豊岡元気村虫の音音楽祭2008@豊岡総合センター野球場	花火	3	個別	
21	豊岡元気村虫の音音楽祭2008@豊岡総合センター野球場	あなたと握手	4	個別	
21	豊岡元気村虫の音音楽祭2008@豊岡総合センター野球場	その目に映して	5	個別	
20	結婚披露パーティ @だいだい@ダイニングバーだいだい モール街店	愛の病	1	個別	
20	結婚披露パーティ @だいだい@ダイニングバーだいだい モール街店	あなたと握手	2	個別	
19	龍水の都音楽祭2008@天龍壬生ホール	シアワセ	1	個別	
19	龍水の都音楽祭2008@天龍壬生ホール	あなたと握手	2	個別	
19	龍水の都音楽祭2008@天龍壬生ホール	花火	3	個別	
19	龍水の都音楽祭2008@天龍壬生ホール	傷跡	4	個別	
19	龍水の都音楽祭2008@天龍壬生ホール	その目に映して	5	個別	
19	龍水の都音楽祭2008@天龍壬生ホール	イジワルな天使よ 世界を笑え！	6	個別	
18	ラグーナクリスマスコンサート@ラグーナ蒲郡	カブトムシ	1	個別	
18	ラグーナクリスマスコンサート@ラグーナ蒲郡	横顔	2	個別	
18	ラグーナクリスマスコンサート@ラグーナ蒲郡	キスする前に	3	個別	
18	ラグーナクリスマスコンサート@ラグーナ蒲郡	シアワセ	4	個別	
18	ラグーナクリスマスコンサート@ラグーナ蒲郡	雲は白リンゴは赤	5	個別	
18	ラグーナクリスマスコンサート@ラグーナ蒲郡	えりあし	6	個別	
18	ラグーナクリスマスコンサート@ラグーナ蒲郡	ボーイフレンド	7	個別	
17	第7回J-POP祭@ライブハウス「窓枠」(旧)	えりあし	1	個別	
17	第7回J-POP祭@ライブハウス「窓枠」(旧)	シアワセ	2	個別	
17	第7回J-POP祭@ライブハウス「窓枠」(旧)	横顔	3	個別	
17	第7回J-POP祭@ライブハウス「窓枠」(旧)	雲は白リンゴは赤	4	個別	
17	第7回J-POP祭@ライブハウス「窓枠」(旧)	キスする前に	5	個別	
17	第7回J-POP祭@ライブハウス「窓枠」(旧)	Power of Love	6	個別	
16	豊岡元気村虫の音音楽祭2007@豊岡総合センター野球場	ボーイフレンド	1	個別	
16	豊岡元気村虫の音音楽祭2007@豊岡総合センター野球場	ある日のひまわり	2	個別	
16	豊岡元気村虫の音音楽祭2007@豊岡総合センター野球場	ジェット	3	個別	
16	豊岡元気村虫の音音楽祭2007@豊岡総合センター野球場	雲は白リンゴは赤	4	個別	
16	豊岡元気村虫の音音楽祭2007@豊岡総合センター野球場	キスする前に	5	個別	
15	ガーデンコンサート@サンクンガーデン	キスする前に	1	個別	
15	ガーデンコンサート@サンクンガーデン	ボーイフレンド	2	個別	
15	ガーデンコンサート@サンクンガーデン	ある日のひまわり	3	個別	
15	ガーデンコンサート@サンクンガーデン	雲は白リンゴは赤	4	個別	
15	ガーデンコンサート@サンクンガーデン	ジェット	5	個別	
14	めぐみ&ふるふる結婚披露パーティ @ホテルコンコルド浜松	スター	1	個別	
14	めぐみ&ふるふる結婚披露パーティ @ホテルコンコルド浜松	ボーイフレンド	2	個別	
13	Love Like aiko Vol.8@ライブハウス 渋谷「Guilty」	マント	1	個別	
13	Love Like aiko Vol.8@ライブハウス 渋谷「Guilty」	be master of life	2	メドレー	
13	Love Like aiko Vol.8@ライブハウス 渋谷「Guilty」	相合傘（汗かきmix）	3	メドレー	
13	Love Like aiko Vol.8@ライブハウス 渋谷「Guilty」	スター	4	個別	
13	Love Like aiko Vol.8@ライブハウス 渋谷「Guilty」	赤いランプ	5	個別	
13	Love Like aiko Vol.8@ライブハウス 渋谷「Guilty」	キラキラ	6	個別	
12	第5回J-POP祭@ライブハウス「窓枠」(旧)	マント	1	個別	
12	第5回J-POP祭@ライブハウス「窓枠」(旧)	赤いランプ	2	個別	
12	第5回J-POP祭@ライブハウス「窓枠」(旧)	相合傘（汗かきmix）	3	個別	
12	第5回J-POP祭@ライブハウス「窓枠」(旧)	スター	4	個別	
12	第5回J-POP祭@ライブハウス「窓枠」(旧)	be master of life	5	個別	
12	第5回J-POP祭@ライブハウス「窓枠」(旧)	キラキラ	6	個別	
11	豊岡元気村虫の音音楽祭2006@豊岡総合センター野球場	帽子と水着と水平線	1	個別	
11	豊岡元気村虫の音音楽祭2006@豊岡総合センター野球場	be master of life	2	個別	
11	豊岡元気村虫の音音楽祭2006@豊岡総合センター野球場	あなたと握手	3	個別	
11	豊岡元気村虫の音音楽祭2006@豊岡総合センター野球場	アスパラ	4	個別	
11	豊岡元気村虫の音音楽祭2006@豊岡総合センター野球場	花火	5	個別	
11	豊岡元気村虫の音音楽祭2006@豊岡総合センター野球場	Power of Love	6	個別	
10	窓枠2周年記念パーティ@ライブハウス「窓枠」(旧)	あなたと握手	1	個別	
10	窓枠2周年記念パーティ@ライブハウス「窓枠」(旧)	花火	2	個別	
10	窓枠2周年記念パーティ@ライブハウス「窓枠」(旧)	Power of Love	3	個別	
9	龍水の都音楽祭2006@天龍壬生ホール	キラキラ	1	個別	
9	龍水の都音楽祭2006@天龍壬生ホール	カブトムシ	2	個別	
9	龍水の都音楽祭2006@天龍壬生ホール	花火	3	メドレー	
9	龍水の都音楽祭2006@天龍壬生ホール	花風	4	メドレー	
9	龍水の都音楽祭2006@天龍壬生ホール	帽子と水着と水平線	5	個別	
8	結婚披露パーティ@銀座ライオン	花火	1	メドレー	
8	結婚披露パーティ@銀座ライオン	花風	2	メドレー	
8	結婚披露パーティ@銀座ライオン	キラキラ	3	個別	
7	第3回J-POP祭@ライブハウス「窓枠」(旧)	初恋	1	個別	
7	第3回J-POP祭@ライブハウス「窓枠」(旧)	愛の病	2	個別	
7	第3回J-POP祭@ライブハウス「窓枠」(旧)	桜の時	3	個別	
7	第3回J-POP祭@ライブハウス「窓枠」(旧)	かばん	4	個別	
7	第3回J-POP祭@ライブハウス「窓枠」(旧)	花風	5	個別	
7	第3回J-POP祭@ライブハウス「窓枠」(旧)	be master of life	6	個別	
7	第3回J-POP祭@ライブハウス「窓枠」(旧)	キラキラ	7	個別	
6	浜松冬の蛍音楽祭@冬の蛍ギャラリーモール特設ステージ	飛行機	1	個別	
6	浜松冬の蛍音楽祭@冬の蛍ギャラリーモール特設ステージ	キラキラ	2	メドレー	
6	浜松冬の蛍音楽祭@冬の蛍ギャラリーモール特設ステージ	アンドロメダ	3	メドレー	
6	浜松冬の蛍音楽祭@冬の蛍ギャラリーモール特設ステージ	えりあし	4	個別	
6	浜松冬の蛍音楽祭@冬の蛍ギャラリーモール特設ステージ	彼の落書き	5	個別	
5	第1回J-POP祭@ライブハウス「窓枠」(旧)	キラキラ	1	個別	
5	第1回J-POP祭@ライブハウス「窓枠」(旧)	マント	2	個別	
5	第1回J-POP祭@ライブハウス「窓枠」(旧)	アスパラ	3	個別	
5	第1回J-POP祭@ライブハウス「窓枠」(旧)	えりあし	4	個別	
5	第1回J-POP祭@ライブハウス「窓枠」(旧)	帽子と水着と水平線	5	個別	
5	第1回J-POP祭@ライブハウス「窓枠」(旧)	ジェット	6	個別	
4	静大工学部学園祭@静岡大学工学部特設ステージ	彼の落書き	1	個別	
4	静大工学部学園祭@静岡大学工学部特設ステージ	蝶々結び	2	個別	
4	静大工学部学園祭@静岡大学工学部特設ステージ	初恋	3	個別	
4	静大工学部学園祭@静岡大学工学部特設ステージ	赤いランプ	4	個別	
3	ガーデンコンサート@サンクンガーデン	マント	1	個別	
3	ガーデンコンサート@サンクンガーデン	蝶々結び	2	メドレー	
3	ガーデンコンサート@サンクンガーデン	飛行機	3	メドレー	
3	ガーデンコンサート@サンクンガーデン	帽子と水着と水平線	4	個別	
2	結婚披露パーティ@Merry You	蝶々結び	1	個別	
2	結婚披露パーティ@Merry You	花火	2	個別	
2	結婚披露パーティ@Merry You	Power of Love	3	個別	
1	Polca Dot Slim@Polca Dot Slim	心に乙女	1	メドレー	
1	Polca Dot Slim@Polca Dot Slim	赤いランプ	2	メドレー	
1	Polca Dot Slim@Polca Dot Slim	ロージー	3	個別	
1	Polca Dot Slim@Polca Dot Slim	花火	4	個別	
1	Polca Dot Slim@Polca Dot Slim	赤い靴	5	個別	
1	Polca Dot Slim@Polca Dot Slim	カブトムシ	6	個別	
1	Polca Dot Slim@Polca Dot Slim	桜の時	7	個別	
1	Polca Dot Slim@Polca Dot Slim	Power of Love	8	個別	
